,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
666,Apple,iPad mini 3,iOS,1,400.0,False,Li-Po,6470,2,1.3,5,1.2,64
667,Apple,iPhone 6 Plus,iOS,1,700.0,False,Li-Po,2915,2,1.4,8,1.2,64
668,Apple,iPhone 6,iOS,1,540.0,False,Li-Po,1810,2,1.4,8,1.2,64
669,Apple,iPad Air,iOS,1,350.0,False,Li-Po,8600,2,1.3,5,1.2,64
670,Apple,iPad mini 2,iOS,1,270.0,False,Li-Po,6470,2,1.3,5,1.2,64
671,Apple,iPhone 5s,iOS,1,330.0,False,Li-Po,1560,2,1.3,8,1.2,64
672,Apple,iPhone 5c,iOS,1,300.0,False,Li-Po,1510,2,1.3,8,1.2,8
673,Apple,iPad mini Wi-Fi,iOS,512,200.0,False,Li-Po,4490,2,1.0,5,1.2,64
674,Apple,iPad mini Wi-Fi + Cellular,iOS,512,300.0,False,Li-Po,4490,2,1.0,5,1.2,64
675,Apple,iPad 4 Wi-Fi,iOS,1,350.0,False,Li-Po,11560,2,1.4,5,1.2,64
676,Apple,iPad 4 Wi-Fi + Cellular,iOS,1,500.0,False,Li-Po,11560,2,1.4,5,1.2,64
677,Apple,iPhone 5,iOS,1,340.0,False,Li-Po,1440,2,1.3,8,1.2,64
678,Apple,iPad 3 Wi-Fi + Cellular,iOS,1,400.0,False,Li-Po,11560,2,1.0,5,VGA|,64
679,Apple,iPad 3 Wi-Fi,iOS,1,290.0,False,Li-Po,11560,2,1.0,5,VGA|,64
680,Apple,iPhone 4s,iOS,512,190.0,False,Li-Po,1432,2,1.0,8,VGA|,8
681,Apple,iPad 2 Wi-Fi + 3G,iOS,512,370.0,False,Li-Po,6930,2,1.0,0.7,VGA,64
682,Apple,iPad 2 Wi-Fi,iOS,512,200.0,False,Li-Po,6930,2,1.0,0.7,VGA,64
683,Apple,iPad 2 CDMA,iOS,512,200.0,False,Li-Po,6930,2,1.0,0.7,VGA,64
